Date,Price
2023-09-30,4500
2023-10-02,4500
2023-10-03,4000
2023-10-04,4500
2023-10-05,4500
2023-10-06,4500
2023-10-07,4000
2023-10-09,4500
2023-10-10,4000
2023-10-11,4500
2023-10-12,4000
2023-10-13,3500
2023-10-16,4200
2023-10-17,4000
2023-10-18,3800
2023-10-19,4000
2023-10-20,4000
2023-10-21,4500
2023-10-25,4500
2023-10-26,3800
2023-10-27,4500
2023-10-30,4200
2023-10-31,4500
2023-11-02,4500
2023-11-03,4500
2023-11-04,4500
2023-11-06,4500
2023-11-07,4500
2023-11-08,4500
2023-11-09,4500
2023-11-10,3500
2023-11-13,3500
2023-11-15,4000
2023-11-16,2800
2023-11-17,4000
2023-11-18,4500
2023-11-20,4000
2023-11-21,3500
2023-11-22,2800
2023-11-23,2500
2023-11-24,3500
2023-11-27,3000
2023-11-28,2500
2023-11-29,4000
2023-12-01,4000
2023-12-02,4500
2023-12-04,3000
2023-12-05,3000
2023-12-06,2800
2023-12-07,3000
2023-12-08,3000
2023-12-11,3000
2023-12-12,2800
2023-12-13,2600
2023-12-14,2500
2023-12-15,2800
2023-12-16,2500
2023-12-18,2500
2023-12-19,2500
2023-12-20,2400
2023-12-21,2400
2023-12-22,2500
2023-12-26,2800
2023-12-27,2800
2023-12-28,3500
2023-12-29,3000
2023-12-30,2500
2024-01-01,2500
2024-01-02,2500
2024-01-03,3000
2024-01-04,2500
2024-01-05,3500
2024-01-06,4500
2024-01-08,3500
2024-01-09,3000
2024-01-10,4000
2024-01-12,2800
2024-01-16,4000
2024-01-17,2800
2024-01-18,2800
2024-01-24,3500
2024-01-25,2500
2024-01-29,10000
2024-01-30,3700
2024-01-31,2500
2024-02-01,3000
2024-02-02,2600
2024-02-03,2500
2024-02-05,2500
2024-02-06,3600
2024-02-07,2600
2024-02-08,4200
2024-02-09,4000
2024-02-12,4000
2024-02-13,4200
2024-02-14,4000
2024-02-15,4000
2024-02-16,4000
2024-02-17,4200
2024-02-19,3500
2024-02-20,4200
2024-02-21,3500
2024-02-22,4000
2024-02-23,4200
2024-02-26,3500
2024-02-27,4000
2024-02-28,3500
2024-02-29,4000
2024-03-01,3500
2024-03-02,3500
2024-03-04,3000
2024-03-05,3500
2024-03-06,3500
2024-03-07,3500
2024-03-11,3000
2024-03-12,3000
2024-03-13,3100
2024-03-14,4500
2024-03-15,3100
2024-03-16,4500
2024-03-18,4500
2024-03-19,4400
2024-03-20,4500
2024-03-21,4500
2024-03-22,4800
2024-03-25,4500
2024-03-26,4800
2024-03-27,4500
2024-03-28,4000
2024-03-30,4000
2024-04-01,4500
2024-04-02,4500
2024-04-03,4500
2024-04-04,4500
2024-04-05,4000
2024-04-06,4500
2024-04-08,4500
2024-04-15,4500
2024-04-17,4000
2024-04-18,4500
2024-04-19,5000
2024-04-20,4500
2024-04-22,4500
2024-04-23,4500
2024-04-24,4800
2024-04-25,4500
2024-04-26,4800
2024-04-29,5000
2024-04-30,4800
2024-05-02,4800
2024-05-03,5200
2024-05-04,5500
2024-05-06,5000
2024-05-07,4800
2024-05-08,5000
2024-05-09,4500
2024-05-13,4500
2024-05-14,5000
2024-05-15,5500
2024-05-16,5000
2024-05-18,5000
2024-05-20,5500
2024-05-21,5500
2024-05-22,5000
